Name,Deprivation Index,Median family income,Precentage of Family with No Access to Telecommunication Systems,Precentage of Family with No Access to CellPhone,Precentage of Family with No Access to TelePhone,Precentage of Family with No Access to Internet,Precentage of Family with No Motor Vehicle,Precentage of People with No Qualification,Precentage of People with Below Deploma Qualification,Precentage of People with Diploma Qualification,Precentage of People with Bachelor Degree,Precentage of People with Postgraduate Degree,Precentage of People employed Full time,Precentage of People employed Part time,Precentage of People Unemployed
Oceanic-Northland Region,NaN,NaN,,,,,,,,,,,,,
Inlet-Rangaunu Harbour,NaN,NaN,,,,,,,,,,,,,
Inlet-Hokianga Harbour,NaN,NaN,,,,,,,,,,,,,
Inlet-Doubtless Bay,NaN,NaN,,,,,,,,,,,,,
Parua Bay,3,77000,0.4,15.6,9.6,14.4,1.593625498,15.27494908,44.39918534,13.64562118,13.64562118,8.350305499,71.0982659,23.41040462,5.202312139
Waitangi,6,53800,1.01010101,12.12121212,13.13131313,20.2020202,2,18.90547264,43.78109453,9.452736318,9.452736318,4.47761194,62.58992806,28.77697842,8.633093525
Bream Bay,5,60600,0.943396226,14.1509434,16.03773585,24.52830189,1.886792453,21.95121951,48.7804878,8.780487805,8.780487805,3.902439024,73.82550336,22.14765101,4.026845638
Waihou Valley-Hupara,5,63000,1.82767624,14.09921671,14.09921671,21.67101828,2.088772846,19.92136304,49.01703801,9.829619921,9.829619921,4.062909567,70.80536913,22.65100671,6.208053691
Marsden Point-Ruakaka,8,59800,2.237136465,14.54138702,18.79194631,28.41163311,4.464285714,27.54854369,46.48058252,8.131067961,8.131067961,3.519417476,68.59813084,21.12149533,10.09345794
Herekino,8,60100,5.454545455,31.81818182,17.72727273,37.72727273,3.619909502,33.56807512,46.00938967,7.276995305,7.276995305,2.582159624,68.72964169,21.17263844,10.09771987
Mangawhai,7,51700,1.104972376,13.25966851,14.91712707,20.99447514,1.657458564,22.42424242,50.3030303,8.787878788,8.787878788,2.727272727,62,31,7
Hokianga North,10,35700,8.080808081,49.49494949,23.23232323,57.57575758,6.5,40.22988506,42.24137931,5.459770115,5.459770115,2.011494253,61.11111111,23.14814815,16.66666667
